timestamp,profile,voltage_v,soc_pct,soh_pct,rms_v,p2p_v,dv_dt_mvs,snr_db,skewness,kurtosis,crest_factor,centroid_hz,flatness,rolloff_hz
1787456217.18,SUPERCAP,2.52,26.2,N/A,2.52,0.3223,-0.291,31.8,3.45,26.9,0.7005
1787456218.69,SUPERCAP,2.519,26.2,N/A,2.52,0.3223,0.082,31.9,3.48,26.6,0.699
1787456220.25,SUPERCAP,2.518,26.2,N/A,2.519,0.3223,-0.231,32.1,3.6,26.7,0.7168
1787456221.82,SUPERCAP,2.518,26.2,N/A,2.519,0.3223,-0.335,32.1,3.63,26.5,0.7224
1787456223.39,SUPERCAP,2.516,26.2,N/A,2.517,0.3223,-0.442,32.3,3.8,26.9,0.7055
1787456224.95,SUPERCAP,2.516,26.2,N/A,2.516,0.3223,-0.608,32.3,3.76,26.7,0.7277
1787456226.49,SUPERCAP,2.516,26.2,N/A,2.517,0.3223,-0.227,32.3,3.74,26.5,0.7144
1787456228.17,SUPERCAP,2.514,26.2,N/A,2.515,0.3223,-0.436,32.5,3.92,26.6,0.729
1787456229.77,SUPERCAP,2.513,26.2,N/A,2.514,0.3223,-0.874,32.6,4.03,26.3,0.7248
1787456231.33,SUPERCAP,2.514,26.2,N/A,2.514,0.3223,-0.437,32.6,3.95,26.2,0.7311
1787456232.96,SUPERCAP,2.514,26.2,N/A,2.514,0.3223,-0.103,32.6,3.95,26.2,0.7311
1787456234.56,SUPERCAP,2.514,26.2,N/A,2.514,0.3223,0.0,32.6,3.95,26.2,0.7311
1787456236.16,SUPERCAP,2.514,26.2,N/A,2.514,0.3223,0.0,32.6,3.95,26.2,0.7311
1787456237.76,SUPERCAP,2.514,26.2,N/A,2.514,0.3223,0.0,32.6,3.95,26.2,0.7311
1787456239.45,SUPERCAP,2.514,26.2,N/A,2.514,0.3223,0.0,32.6,3.95,26.2,0.7311
1787456241.08,SUPERCAP,2.514,26.2,N/A,2.514,0.3223,0.0,32.6,3.95,26.2,0.7311
1787456242.62,SUPERCAP,2.514,26.2,N/A,2.514,0.3223,0.0,32.6,3.95,26.2,0.7311
1787456244.27,SUPERCAP,2.514,26.2,N/A,2.514,0.3223,0.0,32.6,3.95,26.2,0.7311
1787456245.81,SUPERCAP,2.514,26.2,N/A,2.514,0.3223,0.0,32.6,3.95,26.2,0.7311
1787456247.39,SUPERCAP,2.514,26.2,N/A,2.514,0.3223,0.0,32.6,3.95,26.2,0.7311
1787456248.93,SUPERCAP,2.514,26.2,N/A,2.514,0.3223,0.0,32.6,3.95,26.2,0.7311
1787456250.44,SUPERCAP,2.514,26.2,N/A,2.514,0.3223,0.0,32.6,3.95,26.2,0.7311
1787456252.07,SUPERCAP,2.514,26.2,N/A,2.514,0.3223,0.0,32.6,3.95,26.2,0.7311
1787456253.65,SUPERCAP,2.514,26.2,N/A,2.514,0.3223,0.0,32.6,3.95,26.2,0.7311
1787456255.22,SUPERCAP,2.514,26.2,N/A,2.514,0.3223,0.0,32.6,3.95,26.2,0.7311
1787456256.75,SUPERCAP,2.514,26.2,N/A,2.514,0.3223,0.0,32.6,3.95,26.2,0.7311
1787456258.32,SUPERCAP,2.514,26.2,N/A,2.514,0.3223,0.0,32.6,3.95,26.2,0.7311
1787456259.87,SUPERCAP,2.514,26.2,N/A,2.514,0.3223,0.0,32.6,3.95,26.2,0.7311
1787456261.39,SUPERCAP,2.514,26.2,N/A,2.514,0.3223,0.0,32.6,3.95,26.2,0.7311
1787456262.99,SUPERCAP,2.514,26.2,N/A,2.514,0.3223,0.0,32.6,3.95,26.2,0.7311
1787456264.56,SUPERCAP,2.514,26.2,N/A,2.514,0.3223,0.0,32.6,3.95,26.2,0.7311
1787456266.13,SUPERCAP,2.514,26.2,N/A,2.514,0.3223,0.0,32.6,3.95,26.2,0.7311
1787456267.79,SUPERCAP,2.514,26.2,N/A,2.514,0.3223,0.0,32.6,3.95,26.2,0.7311
1787456269.39,SUPERCAP,2.514,26.2,N/A,2.514,0.3223,0.0,32.6,3.95,26.2,0.7311
1787456270.94,SUPERCAP,2.514,26.2,N/A,2.514,0.3223,0.0,32.6,3.95,26.2,0.7311
1787456272.49,SUPERCAP,2.514,26.2,N/A,2.514,0.3223,0.0,32.6,3.95,26.2,0.7311
1787456274.09,SUPERCAP,2.514,26.2,N/A,2.514,0.3223,0.0,32.6,3.95,26.2,0.7311
1787456275.74,9V_BATT,2.558,72.2,N/A,2.615,6.9162,11.236,13.4,144.88,18.6,0.7437
1787456277.33,9V_BATT,2.854,72.3,N/A,3.197,6.9162,86.02,5.9,16.83,11.9,0.4511
1787456278.9,9V_BATT,3.151,72.1,N/A,3.688,6.9162,164.504,4.3,8.13,10.8,0.408
1787456280.43,9V_BATT,3.448,71.9,N/A,4.121,6.9162,188.578,3.7,5.01,10.6,0.4137
1787456282.06,9V_BATT,3.743,71.8,N/A,4.509,6.9162,185.625,3.5,3.43,10.2,0.3929
1787456283.7,9V_BATT,4.06,71.6,N/A,4.894,6.9162,185.907,3.4,2.44,9.9,0.3701
1787456285.39,9V_BATT,4.376,71.6,N/A,5.248,6.9162,186.414,3.6,1.84,9.8,0.3915
1787456287.0,9V_BATT,4.67,71.6,N/A,5.557,6.9652,186.717,3.8,1.47,10.0,0.3821
1787456288.57,9V_BATT,4.965,71.6,N/A,5.852,6.9652,188.296,4.1,1.23,10.0,0.3762
1787456290.11,9V_BATT,5.261,71.7,N/A,6.133,6.9652,191.331,4.5,1.08,10.1,0.3893
1787456291.65,9V_BATT,5.536,71.7,N/A,6.383,6.9652,188.627,4.8,1.02,10.1,0.3845
1787456293.25,9V_BATT,5.832,71.6,N/A,6.642,6.9652,187.0,5.3,1.02,10.2,0.3895
1787456294.8,9V_BATT,6.127,71.6,N/A,6.889,6.9652,185.82,5.8,1.09,10.1,0.3942
1787456296.36,9V_BATT,6.424,71.6,N/A,7.13,6.9549,186.952,6.3,1.23,10.2,0.3981
1787456297.89,9V_BATT,6.699,71.6,N/A,7.346,6.9446,183.645,6.9,1.46,10.4,0.42
1787456299.45,9V_BATT,6.997,71.6,N/A,7.573,6.9446,184.711,7.7,1.82,10.2,0.3919
1787456301.04,9V_BATT,7.294,71.6,N/A,7.794,6.9446,188.757,8.5,2.37,10.4,0.4071
1787456302.65,9V_BATT,7.612,71.6,N/A,8.022,7.0091,191.316,9.6,3.31,10.6,0.3959
1787456304.29,9V_BATT,7.909,71.6,N/A,8.23,7.0091,186.337,10.8,4.79,10.8,0.4163
1787456305.82,9V_BATT,8.208,71.6,N/A,8.435,6.9962,192.199,12.5,7.67,11.7,0.4567
1787456307.41,9V_BATT,8.505,71.6,N/A,8.633,6.9936,192.9,15.2,15.23,12.6,0.4889
1787456308.99,9V_BATT,8.802,71.6,N/A,8.826,6.9368,192.189,22.5,82.65,18.2,0.7037
1787456310.49,9V_BATT,8.862,71.6,N/A,8.864,0.8922,133.325,33.6,2.94,27.1,0.6021
1787456312.01,9V_BATT,8.863,71.5,N/A,8.865,0.8922,56.682,33.5,2.91,26.7,0.6161
1787456313.55,9V_BATT,8.862,71.6,N/A,8.864,0.8922,-0.388,33.6,2.99,27.2,0.5973
1787456315.05,9V_BATT,8.864,71.5,N/A,8.866,0.8922,0.362,33.5,2.97,27.1,0.6164
1787456316.61,9V_BATT,8.864,71.5,N/A,8.866,0.8922,0.412,33.4,3.04,27.6,0.625
1787456318.22,9V_BATT,8.865,71.5,N/A,8.867,0.8922,0.311,33.4,3.02,27.8,0.6106
1787456319.96,9V_BATT,8.865,71.5,N/A,8.867,0.8922,-0.06,33.4,2.96,27.5,0.6311
1787456322.08,9V_BATT,8.867,71.4,N/A,8.869,0.8484,0.632,33.6,2.9,27.4,0.6091
1787456323.67,9V_BATT,8.868,71.4,N/A,8.87,0.8484,0.674,33.7,2.89,27.3,0.613
1787456325.22,9V_BATT,8.868,71.4,N/A,8.869,0.8484,0.412,33.9,2.93,27.1,0.5945
1787456326.9,9V_BATT,8.868,71.4,N/A,8.87,0.8484,0.579,33.8,2.92,27.1,0.6463
1787456328.52,9V_BATT,8.87,71.4,N/A,8.872,0.8484,0.804,33.7,2.89,27.5,0.6347
1787456330.16,9V_BATT,8.871,71.5,N/A,8.873,0.8484,0.626,33.6,2.85,27.6,0.6157
1787456331.73,9V_BATT,8.871,71.5,N/A,8.873,0.8484,-0.132,33.5,2.9,27.3,0.6079
1787456333.39,9V_BATT,8.87,71.4,N/A,8.872,0.8484,-0.344,33.5,2.91,27.2,0.6145
1787456335.06,9V_BATT,8.869,71.4,N/A,8.871,0.8484,-0.355,33.6,2.88,27.3,0.6127
1787456336.63,9V_BATT,8.87,71.4,N/A,8.872,0.7968,-0.103,33.7,2.69,27.2,0.6238
1787456338.16,9V_BATT,8.869,71.4,N/A,8.871,0.7968,-0.184,33.8,2.73,27.6,0.6465
1787456339.89,9V_BATT,8.87,71.4,N/A,8.872,0.7968,0.429,33.9,2.65,27.7,0.6426
1787456341.19,9V_BATT,8.869,71.5,N/A,8.871,0.7968,-0.12,33.8,2.74,27.6,0.624
1787456342.43,9V_BATT,8.867,71.4,N/A,8.869,0.7968,-0.555,33.8,2.74,27.6,0.5969
1787456343.67,9V_BATT,8.867,71.5,N/A,8.869,0.7968,-0.72,33.6,2.7,27.5,0.6062
1787456344.92,9V_BATT,8.869,71.4,N/A,8.871,0.7994,0.313,33.5,2.59,27.2,0.6071
